4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Greece,Postgraduate (taught),Full-time,2021/22,East Midlands,25
All,Greece,Postgraduate (taught),Full-time,2021/22,West Midlands,45
All,Greece,Postgraduate (taught),Full-time,2021/22,East of England,50
All,Greece,Postgraduate (taught),Full-time,2021/22,London,565
All,Greece,Postgraduate (taught),Full-time,2021/22,South East,100
All,Greece,Postgraduate (taught),Full-time,2021/22,South West,50
All,Greece,Postgraduate (taught),Full-time,2021/22,The Open University in England,0
All,Greece,Postgraduate (taught),Full-time,2021/22,England,1005
All,Greece,Postgraduate (taught),Full-time,2021/22,Wales,50
All,Greece,Postgraduate (taught),Full-time,2021/22,Scotland,180
All,Greece,Postgraduate (taught),Full-time,2021/22,Northern Ireland,0
All,Greece,Postgraduate (taught),Full-time,2021/22,Total United Kingdom,1235
All,Greece,Postgraduate (taught),Part-time,2021/22,North East,10
All,Greece,Postgraduate (taught),Part-time,2021/22,North West,45
All,Greece,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,25
All,Greece,Postgraduate (taught),Part-time,2021/22,East Midlands,10
All,Greece,Postgraduate (taught),Part-time,2021/22,West Midlands,30
All,Greece,Postgraduate (taught),Part-time,2021/22,East of England,15
All,Greece,Postgraduate (taught),Part-time,2021/22,London,135
All,Greece,Postgraduate (taught),Part-time,2021/22,South East,30
All,Greece,Postgraduate (taught),Part-time,2021/22,South West,20
All,Greece,Postgraduate (taught),Part-time,2021/22,The Open University in England,0
All,Greece,Postgraduate (taught),Part-time,2021/22,England,315
All,Greece,Postgraduate (taught),Part-time,2021/22,Wales,20
All,Greece,Postgraduate (taught),Part-time,2021/22,Scotland,65
All,Greece,Postgraduate (taught),Part-time,2021/22,Northern Ireland,5
All,Greece,Postgraduate (taught),Part-time,2021/22,Total United Kingdom,400
All,Greece,Postgraduate (taught),All,2021/22,North East,90
All,Greece,Postgraduate (taught),All,2021/22,North West,95
All,Greece,Postgraduate (taught),All,2021/22,Yorkshire and The Humber,65
All,Greece,Postgraduate (taught),All,2021/22,East Midlands,35
All,Greece,Postgraduate (taught),All,2021/22,West Midlands,75
All,Greece,Postgraduate (taught),All,2021/22,East of England,65
All,Greece,Postgraduate (taught),All,2021/22,London,695
All,Greece,Postgraduate (taught),All,2021/22,South East,130
